,distance_wheelchair,speed_wheelchair,acceleration_wheelchair,distance_tracker,speed_tracker,acceleration_tracker,danger_tracker,distance_drone,speed_drone,acceleration_drone,distance_range,speed_range,acceleration_range,wheelchair_data,drone_data,tracker_data,range_data
5.31,,0.0,0.0,1.8599,0.4483209126522602,0.016113295219370594,0.9833761018674502,,0.0,0.0,1.9544000000000001,0.5952959712352996,0.5726601618526176,False,False,True,False
5.32,,0.0,0.0,1.8599,0.4483209126522602,0.016113295219370594,0.9833761018674502,,0.0,0.0,1.8914000000000002,0.6145783126512415,0.188103315101186,False,False,False,False
5.33,,0.0,0.0,1.8599,0.4483209126522602,0.016113295219370594,0.9833761018674502,,0.0,0.0,1.8914000000000002,0.6145783126512415,0.188103315101186,False,False,False,False
5.34,,0.0,0.0,1.845,0.4471831662248903,-0.034146379178008716,0.9872307693070221,,0.0,0.0,1.8914000000000002,0.6145783126512415,0.188103315101186,False,False,True,False
5.35,,0.0,0.0,1.845,0.4471831662248903,-0.034146379178008716,0.9872307693070221,,0.0,0.0,1.8914000000000002,0.6145783126512415,0.188103315101186,False,False,False,False
5.36,,0.0,0.0,1.845,0.4471831662248903,-0.034146379178008716,0.9872307693070221,,0.0,0.0,1.8914000000000002,0.6145783126512415,0.188103315101186,False,False,False,False
5.37,,0.0,0.0,1.8298,0.4583915571030398,0.33801524652990145,1.0222203475589358,,0.0,0.0,1.8914000000000002,0.6145783126512415,0.188103315101186,False,False,True,False
5.38,,0.0,0.0,1.8298,0.4583915571030398,0.33801524652990145,1.0222203475589358,,0.0,0.0,1.8914000000000002,0.6145783126512415,0.188103315101186,False,False,False,False
5.39,,0.0,0.0,1.8298,0.4583915571030398,0.33801524652990145,1.0222203475589358,,0.0,0.0,1.8914000000000002,0.6145783126512415,0.188103315101186,False,False,False,False
5.4,,0.0,0.0,1.8298,0.4583915571030398,0.33801524652990145,1.0222203475589358,,0.0,0.0,1.8914000000000002,0.6145783126512415,0.188103315101186,False,False,False,False
5.41,,0.0,0.0,1.8147,0.4480359055381307,-0.30726514743850114,1.003344880516885,,0.0,0.0,1.8914000000000002,0.6145783126512415,0.188103315101186,False,False,True,False
